First_Name,Last_Name,Email,Customer_ID,Senior_Citizen,Tenure_Month,Phone_Service,Internet_Service,Contract_Type,Payment_Method,Monthly_Charges,Total_Charges,Churn_Status
Verilink,7590-VHVEG,7590-vhveg@verilink-test.com,7590-VHVEG,0,1,No,DSL,Month-to-month,Electronic check,29.85,29.85,No
Verilink,5575-GNVDE,5575-gnvde@verilink-test.com,5575-GNVDE,0,34,Yes,DSL,One year,Mailed check,56.95,1889.5,No
Verilink,3668-QPYBK,3668-qpybk@verilink-test.com,3668-QPYBK,0,2,Yes,DSL,Month-to-month,Mailed check,53.85,108.15,Yes
Verilink,7795-CFOCW,7795-cfocw@verilink-test.com,7795-CFOCW,0,45,No,DSL,One year,Bank transfer (automatic),42.3,1840.75,No
Verilink,9237-HQITU,9237-hqitu@verilink-test.com,9237-HQITU,0,2,Yes,Fiber optic,Month-to-month,Electronic check,70.7,151.65,Yes
Verilink,9305-CDSKC,9305-cdskc@verilink-test.com,9305-CDSKC,0,8,Yes,Fiber optic,Month-to-month,Electronic check,99.65,820.5,Yes
Verilink,1452-KIOVK,1452-kiovk@verilink-test.com,1452-KIOVK,0,22,Yes,Fiber optic,Month-to-month,Credit card (automatic),89.1,1949.4,No
Verilink,6713-OKOMC,6713-okomc@verilink-test.com,6713-OKOMC,0,10,No,DSL,Month-to-month,Mailed check,29.75,301.9,No
Verilink,7892-POOKP,7892-pookp@verilink-test.com,7892-POOKP,0,28,Yes,Fiber optic,Month-to-month,Electronic check,104.8,3046.05,Yes
Verilink,6388-TABGU,6388-tabgu@verilink-test.com,6388-TABGU,0,62,Yes,DSL,One year,Bank transfer (automatic),56.15,3487.95,No
Verilink,9763-GRSKD,9763-grskd@verilink-test.com,9763-GRSKD,0,13,Yes,DSL,Month-to-month,Mailed check,49.95,587.45,No
Verilink,7469-LKBCI,7469-lkbci@verilink-test.com,7469-LKBCI,0,16,Yes,No,Two year,Credit card (automatic),18.95,326.8,No
Verilink,8091-TTVAX,8091-ttvax@verilink-test.com,8091-TTVAX,0,58,Yes,Fiber optic,One year,Credit card (automatic),100.35,5681.1,No
Verilink,0280-XJGEX,0280-xjgex@verilink-test.com,0280-XJGEX,0,49,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),103.7,5036.3,Yes
Verilink,5129-JLPIS,5129-jlpis@verilink-test.com,5129-JLPIS,0,25,Yes,Fiber optic,Month-to-month,Electronic check,105.5,2686.05,No
Verilink,3655-SNQYZ,3655-snqyz@verilink-test.com,3655-SNQYZ,0,69,Yes,Fiber optic,Two year,Credit card (automatic),113.25,7895.15,No
Verilink,8191-XWSZG,8191-xwszg@verilink-test.com,8191-XWSZG,0,52,Yes,No,One year,Mailed check,20.65,1022.95,No
Verilink,9959-WOFKT,9959-wofkt@verilink-test.com,9959-WOFKT,0,71,Yes,Fiber optic,Two year,Bank transfer (automatic),106.7,7382.25,No
Verilink,4190-MFLUW,4190-mfluw@verilink-test.com,4190-MFLUW,0,10,Yes,DSL,Month-to-month,Credit card (automatic),55.2,528.35,Yes
Verilink,4183-MYFRB,4183-myfrb@verilink-test.com,4183-MYFRB,0,21,Yes,Fiber optic,Month-to-month,Electronic check,90.05,1862.9,No
Verilink,8779-QRDMV,8779-qrdmv@verilink-test.com,8779-QRDMV,1,1,No,DSL,Month-to-month,Electronic check,39.65,39.65,Yes
Verilink,1680-VDCWW,1680-vdcww@verilink-test.com,1680-VDCWW,0,12,Yes,No,One year,Bank transfer (automatic),19.8,202.25,No
Verilink,1066-JKSGK,1066-jksgk@verilink-test.com,1066-JKSGK,0,1,Yes,No,Month-to-month,Mailed check,20.15,20.15,Yes
Verilink,3638-WEABW,3638-weabw@verilink-test.com,3638-WEABW,0,58,Yes,DSL,Two year,Credit card (automatic),59.9,3505.1,No
Verilink,6322-HRPFA,6322-hrpfa@verilink-test.com,6322-HRPFA,0,49,Yes,DSL,Month-to-month,Credit card (automatic),59.6,2970.3,No
Verilink,6865-JZNKO,6865-jznko@verilink-test.com,6865-JZNKO,0,30,Yes,DSL,Month-to-month,Bank transfer (automatic),55.3,1530.6,No
Verilink,6467-CHFZW,6467-chfzw@verilink-test.com,6467-CHFZW,0,47,Yes,Fiber optic,Month-to-month,Electronic check,99.35,4749.15,Yes
Verilink,8665-UTDHZ,8665-utdhz@verilink-test.com,8665-UTDHZ,0,1,No,DSL,Month-to-month,Electronic check,30.2,30.2,Yes
Verilink,5248-YGIJN,5248-ygijn@verilink-test.com,5248-YGIJN,0,72,Yes,DSL,Two year,Credit card (automatic),90.25,6369.45,No
Verilink,8773-HHUOZ,8773-hhuoz@verilink-test.com,8773-HHUOZ,0,17,Yes,DSL,Month-to-month,Mailed check,64.7,1093.1,Yes
Verilink,3841-NFECX,3841-nfecx@verilink-test.com,3841-NFECX,1,71,Yes,Fiber optic,Two year,Credit card (automatic),96.35,6766.95,No
Verilink,4929-XIHVW,4929-xihvw@verilink-test.com,4929-XIHVW,1,2,Yes,Fiber optic,Month-to-month,Credit card (automatic),95.5,181.65,No
Verilink,6827-IEAUQ,6827-ieauq@verilink-test.com,6827-IEAUQ,0,27,Yes,DSL,One year,Mailed check,66.15,1874.45,No
Verilink,7310-EGVHZ,7310-egvhz@verilink-test.com,7310-EGVHZ,0,1,Yes,No,Month-to-month,Bank transfer (automatic),20.2,20.2,No
Verilink,3413-BMNZE,3413-bmnze@verilink-test.com,3413-BMNZE,1,1,Yes,DSL,Month-to-month,Bank transfer (automatic),45.25,45.25,No
Verilink,6234-RAAPL,6234-raapl@verilink-test.com,6234-RAAPL,0,72,Yes,Fiber optic,Two year,Bank transfer (automatic),99.9,7251.7,No
Verilink,6047-YHPVI,6047-yhpvi@verilink-test.com,6047-YHPVI,0,5,Yes,Fiber optic,Month-to-month,Electronic check,69.7,316.9,Yes
Verilink,6572-ADKRS,6572-adkrs@verilink-test.com,6572-ADKRS,0,46,Yes,Fiber optic,Month-to-month,Credit card (automatic),74.8,3548.3,No
Verilink,5380-WJKOV,5380-wjkov@verilink-test.com,5380-WJKOV,0,34,Yes,Fiber optic,Month-to-month,Electronic check,106.35,3549.25,Yes
Verilink,8168-UQWWF,8168-uqwwf@verilink-test.com,8168-UQWWF,0,11,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),97.85,1105.4,Yes
Verilink,8865-TNMNX,8865-tnmnx@verilink-test.com,8865-TNMNX,0,10,Yes,DSL,One year,Mailed check,49.55,475.7,No
Verilink,9489-DEDVP,9489-dedvp@verilink-test.com,9489-DEDVP,0,70,Yes,DSL,Two year,Credit card (automatic),69.2,4872.35,No
Verilink,9867-JCZSP,9867-jczsp@verilink-test.com,9867-JCZSP,0,17,Yes,No,One year,Mailed check,20.75,418.25,No
Verilink,4671-VJLCL,4671-vjlcl@verilink-test.com,4671-VJLCL,0,63,Yes,DSL,Two year,Credit card (automatic),79.85,4861.45,No
Verilink,4080-IIARD,4080-iiard@verilink-test.com,4080-IIARD,0,13,Yes,DSL,Month-to-month,Electronic check,76.2,981.45,No
Verilink,3714-NTNFO,3714-ntnfo@verilink-test.com,3714-NTNFO,0,49,Yes,Fiber optic,Month-to-month,Electronic check,84.5,3906.7,No
Verilink,5948-UJZLF,5948-ujzlf@verilink-test.com,5948-UJZLF,0,2,Yes,DSL,Month-to-month,Mailed check,49.25,97,No
Verilink,7760-OYPDY,7760-oypdy@verilink-test.com,7760-OYPDY,0,2,Yes,Fiber optic,Month-to-month,Electronic check,80.65,144.15,Yes
Verilink,7639-LIAYI,7639-liayi@verilink-test.com,7639-LIAYI,0,52,Yes,DSL,Two year,Credit card (automatic),79.75,4217.8,No
Verilink,2954-PIBKO,2954-pibko@verilink-test.com,2954-PIBKO,0,69,Yes,DSL,Two year,Credit card (automatic),64.15,4254.1,No
Verilink,8012-SOUDQ,8012-soudq@verilink-test.com,8012-SOUDQ,1,43,Yes,Fiber optic,Month-to-month,Electronic check,90.25,3838.75,No
Verilink,9420-LOJKX,9420-lojkx@verilink-test.com,9420-LOJKX,0,15,Yes,Fiber optic,Month-to-month,Credit card (automatic),99.1,1426.4,Yes
Verilink,6575-SUVOI,6575-suvoi@verilink-test.com,6575-SUVOI,1,25,Yes,DSL,Month-to-month,Credit card (automatic),69.5,1752.65,No
Verilink,7495-OOKFY,7495-ookfy@verilink-test.com,7495-OOKFY,1,8,Yes,Fiber optic,Month-to-month,Credit card (automatic),80.65,633.3,Yes
Verilink,4667-QONEA,4667-qonea@verilink-test.com,4667-QONEA,1,60,Yes,DSL,One year,Credit card (automatic),74.85,4456.35,No
Verilink,1658-BYGOY,1658-bygoy@verilink-test.com,1658-BYGOY,1,18,Yes,Fiber optic,Month-to-month,Electronic check,95.45,1752.55,Yes
Verilink,8769-KKTPH,8769-kktph@verilink-test.com,8769-KKTPH,0,63,Yes,Fiber optic,One year,Credit card (automatic),99.65,6311.2,No
Verilink,5067-XJQFU,5067-xjqfu@verilink-test.com,5067-XJQFU,1,66,Yes,Fiber optic,One year,Electronic check,108.45,7076.35,No
Verilink,3957-SQXML,3957-sqxml@verilink-test.com,3957-SQXML,0,34,Yes,No,Two year,Credit card (automatic),24.95,894.3,No
Verilink,5954-BDFSG,5954-bdfsg@verilink-test.com,5954-BDFSG,0,72,Yes,Fiber optic,Two year,Credit card (automatic),107.5,7853.7,No
Verilink,0434-CSFON,0434-csfon@verilink-test.com,0434-CSFON,0,47,Yes,Fiber optic,Month-to-month,Electronic check,100.5,4707.1,No
Verilink,1215-FIGMP,1215-figmp@verilink-test.com,1215-FIGMP,0,60,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),89.9,5450.7,No
Verilink,0526-SXDJP,0526-sxdjp@verilink-test.com,0526-SXDJP,0,72,No,DSL,Two year,Bank transfer (automatic),42.1,2962,No
Verilink,0557-ASKVU,0557-askvu@verilink-test.com,0557-ASKVU,0,18,Yes,DSL,One year,Credit card (automatic),54.4,957.1,No
Verilink,5698-BQJOH,5698-bqjoh@verilink-test.com,5698-BQJOH,0,9,Yes,Fiber optic,Month-to-month,Electronic check,94.4,857.25,Yes
Verilink,5122-CYFXA,5122-cyfxa@verilink-test.com,5122-CYFXA,0,3,Yes,DSL,Month-to-month,Electronic check,75.3,244.1,No
Verilink,8627-ZYGSZ,8627-zygsz@verilink-test.com,8627-ZYGSZ,0,47,Yes,Fiber optic,One year,Electronic check,78.9,3650.35,No
Verilink,3410-YOQBQ,3410-yoqbq@verilink-test.com,3410-YOQBQ,0,31,Yes,DSL,Two year,Mailed check,79.2,2497.2,No
Verilink,3170-NMYVV,3170-nmyvv@verilink-test.com,3170-NMYVV,0,50,Yes,No,Two year,Bank transfer (automatic),20.15,930.9,No
Verilink,7410-OIEDU,7410-oiedu@verilink-test.com,7410-OIEDU,0,10,Yes,Fiber optic,Month-to-month,Mailed check,79.85,887.35,No
Verilink,2273-QCKXA,2273-qckxa@verilink-test.com,2273-QCKXA,0,1,Yes,DSL,Month-to-month,Mailed check,49.05,49.05,No
Verilink,0731-EBJQB,0731-ebjqb@verilink-test.com,0731-EBJQB,0,52,Yes,No,One year,Electronic check,20.4,1090.65,No
